component_id,manufacturers
6a6d014f79748976,Littelfuse
6a7dd8317cabff40,Panasonic
6e089fc7490d5303,Panasonic
6e14c48b06b41d29,ISSI
6fe97f8e248b186c,Cherry
70637a84ffb07254,Fairchild/ON Semiconductor
70ce3f5916b1d476,ON Semi
713e7ab801b4bdff,Analog Devices Inc
723570852ba0ba04,Taiyo Yuden
72bed164a2b11f09,STMicroelectronics
733e4680311f6891,Microchip
735877da5271ded1,Seoul Semiconductor
736d6f8e1f2c2171,Ulbox
73e894ec054af85f,TE
74de03b35c166347,ON Semi
7658d7f31b0dc622,Toshiba
76689e1fad1806c3,TXC
76a03e178d9de0c6,JST
77b50d50f47012ee,Texas Instruments
77b7f78febdeb38c,Microchip
793f8027ae17fd4d,ALPS
79f2bb7e6eb0256c,NKK
7b83e8f804c50d39,Texas Instruments
7bc0981baf9fabde,Texas Instruments
7c5d55790aab1e56,Cornell Dubilier
7cd9a53333bb32f1,Microchip
7d3b12e1129e5474,Texas Instruments
7d7a03c7745efb78,Parallax
7f45191213d85818,Diodes
8043c35736c9d142,Wurth
80c91984ab694c2b,STMicroelectronics
80e04a84d911385a,STMicroelectronics
80eda9b97d187a20,Xilinx
81153290afb86adb,Infineon
811a877456d5c576,YAGEO
8235b9428158065d,Bourns
83117679984810c9,Hirose Connector
8349ff9e343f09e4,YAGEO
835ed48347a8adf3,Broadcom
837841f46a7a1099,Analog Devices Inc
84096e056d4e0fcb,Texas Instruments
845c3f831a74c91e,WIZnet
84a24ec5cc122602,On Shore Technology
858edffddbc064ee,Panasonic
8638b493c5c7c5f9,Texas Instruments
868e0dd64970f9fd,Panasonic
87ea13d52a173bea,Vishay
88badc8cd52fe8de,Analog Devices Inc
89069ca893eac9a8,Microchip
894e2ad6778bd4a8,Harwin
89c1496c01ff37a1,Texas Instruments
8a73f793dc8feb87,Kemet
8aa4823848beb398,Texas Instruments
8abf588006c3e111,Texas Instruments
8b0479a3e150d219,Amphenol
8d4025faac9a9113,NXP
8d9a0dcf422c870d,Citizen Finedevice Co Ltd
8ea17373119d15b7,Omron
8f0edb69ccdc051f,Laird
8f101e3c512c90d6,Texas Instruments
8f6e2103cb383155,Kemet
8fe71c75e7bf2fad,Texas Instruments
908503d6b24f43d2,Kingbright
914dad367faa400d,Texas Instruments
918e1388cfb22cb9,Texas Instruments
91f0f7ed126eef94,Molex
9285e4273baca707,Microchip
92e4649b231c0320,TE
92e66f3ca0a49818,Everlight
93e1e56698d0d2f3,Maxim Electronics
94000d1c3e07c826,Murata
94a550d546bdc6e5,Stackpole Electronics Inc.
94bba6bd7b8e9f30,NXP
953769a6f723ac08,Texas Instruments
9541952a4386b6fc,Kemet
96c14dbed63ab012,E-Switch
981bac643bfede52,Abracon
983394bcf9203b13,Microchip
9866d596fb739590,Bourns
987f5952af091793,Texas Instruments
98aa8e3481bdf938,ON Semi
98e06731e91426ba,Texas Instruments
992669f8c3f88412,Panasonic
997739eb84cc833c,Analog Devices Inc
99923e1cecd24ee5,Bel
99e43bd7e1458359,Panasonic
9a34cef29ed4e28a,Texas Instruments
9af51b39c17ed83a,C&K
9cb80b33da1cbaf0,Vishay
9cfbe332875232cf,Texas Instruments
